"id","created_at","updated_at","title","subtitle","author","other_authors","publisher","year","isbn","quantity","sig1","sig2","keys","description","review","image","profile_image","section_id","edition","abies_book_id","lang_id"
"2","2021-04-18 16:29:29","2023-07-25 16:29:16","(h)amor4 propio",NULL,"VV.AA",NULL,"Continta me tienes",NULL,NULL,"1","VV.","(h)",NULL,NULL,NULL,NULL,NULL,"18",NULL,"4017","1"
"3","2021-04-18 16:29:29","2021-09-21 17:10:47","(h)amor5 húmedo",NULL,"VV.AA",,"Continta me tienes",NULL,NULL,"1","VV.","h)",NULL,NULL,NULL,NULL,NULL,"18",NULL,"4018","1"
"4","2021-04-18 16:29:29","2021-09-21 17:10:47","¡¡Renta básica, ya!!","Ante la falta de derechos","VVAA",,"Virus",NULL,NULL,"1","VVA","ren",NULL,NULL,NULL,NULL,NULL,"6",NULL,"807","1"
"5","2021-04-18 16:29:29","2021-09-21 17:10:47","¡A vivir la anarquía!",NULL,"Rodríguez, Gustavo",,"La Letra Armada",NULL,NULL,"1","ROD","viv",NULL,NULL,NULL,NULL,NULL,"2",NULL,"2917","1"
"6","2021-04-18 16:29:29","2021-09-21 17:10:47","¡Al furgón!",NULL,"Meunier, Henri",,"Takatuka",NULL,"978-84-92696-54-3","1","MEU","fur",NULL,NULL,NULL,NULL,NULL,"35","1ª ed. en castellano","1768","1"
"7","2021-04-18 16:29:29","2023-05-26 17:45:42","¡Arriba jornaleros!","Los campesinos navarros ante la revolución burguesa (1841-1868)","Gastón, José Miguel",NULL,"Txalaparta",NULL,NULL,"1","GAS","arr",NULL,NULL,NULL,NULL,NULL,"47",NULL,"2885","1"
"10","2021-04-18 16:29:29","2021-09-21 17:10:47","¡Escucha,hombrecillo!","Discurso sobre la mediocridad","Reich, Wilhelm",,"La linterna sorda","1948",NULL,"1","REI","esc",NULL,NULL,NULL,NULL,NULL,"16",NULL,"3038","1"
"11","2021-04-18 16:29:29","2021-09-21 17:10:47","¡España libre!",NULL,"Camus, Albert",,"La linterna sorda",NULL,NULL,"1","CAM","esp",NULL,NULL,NULL,NULL,NULL,"26",NULL,"3366","1"
"12","2021-04-18 16:29:29","2023-11-24 18:23:45","¡Maderos, cerdos, asesinos!","Crónica del diciembre griego","VVAA",NULL,"Klinamen",NULL,NULL,"1","VVA","mad",NULL,NULL,NULL,NULL,NULL,"79",NULL,"1324","1"
"14","2021-04-18 16:29:29","2023-04-21 17:20:20","¡No es una estafa! Es una crisis (de civilización)",NULL,"Santiago Muiño, Emilio",NULL,"Enclave de Libros","2015","978-84-94270888","1","SAN","est",NULL,NULL,NULL,NULL,NULL,"74",NULL,"3055","1"
"15","2021-04-18 16:29:29","2021-09-21 17:10:47","¡Pásalo!","Relatos y análisis sobre el 11-M y los días que le siguieron","VVAA",,"Traficantes de sueños",NULL,NULL,"1","VVA","pás",NULL,NULL,NULL,NULL,NULL,"3",NULL,"1596","1"
"17","2021-04-18 16:29:29","2021-09-21 17:10:47","¡Viva el mal! ¡Viva el capital!",NULL,"Alba Rico, Santiago",,"Virus Editorial",NULL,NULL,"1","ALB","viv",NULL,NULL,NULL,NULL,NULL,"3",NULL,"3657","1"
"18","2021-04-18 16:29:29","2021-09-21 17:10:47","¡Viva el poder!",": crítica de la razón de estado","Ziegler, Jean",,"IEPALA","1987","84-85436-40-7","1","ZIE","viv",NULL,NULL,NULL,NULL,NULL,"3",NULL,"649","1"
"19","2021-04-18 16:29:29","2021-09-21 17:10:47","¡Viva la naturaleza!","Escritos libertarios contra la civilización, el progreso y la ciencia (1894-1930)","Roselló, Josep Maria",,"Virus",NULL,NULL,"1","ROS","viv",NULL,NULL,NULL,NULL,NULL,"7",NULL,"781","1"
"20","2021-04-18 16:29:29","2021-09-21 17:10:47","¡Viva tierra y libertad!",NULL,"Rivera, Librado",,"Antorcha",NULL,NULL,"1","RIV","viv",NULL,NULL,NULL,NULL,NULL,"2",NULL,"566","1"
"22","2021-04-18 16:29:29","2021-09-21 17:10:47","¡Yo acuso-- !",": traducción íntegra de 'La verdad en marcha' de Émile Zola : 1898-1999-- , vigencia del Â¡Yo acuso-","Zola, Émile",,"Curso",NULL,"84-89878-05-6","1","ZOL","acu",NULL,NULL,NULL,NULL,NULL,"3","1ª ed.","1006","1"
"23","2021-04-18 16:29:29","2021-09-21 17:10:47","¿Atrapados entre el terror y la guerra ?","Ejército, movimiento pacifista y antimilitarismo en Israel","VVAA",,"Virus Editorial",NULL,"84-96044-56-4","1","VVA","atr",NULL,NULL,NULL,NULL,NULL,"13",NULL,"2089","1"
"25","2021-04-18 16:29:29","2024-11-30 10:38:25","¿Chusma?","a propósito de la quiebra del vínculo social, el final de la integración y la revuelta del otoño d","Dell'Umbria, Alèssi",NULL,"Pepitas de Calabaza","2006","84-88455-59-3","1","DEL","chu",NULL,NULL,NULL,NULL,NULL,"3","1ã ed","673","1"
