"id","user_id","subject","comment","created_at","updated_at"
"1","1296","Lo va a buscar para traerlo",NULL,"2023-01-11 16:01:13","2023-01-11 19:56:08"
"2","1311","El número no existe",NULL,"2023-01-11 16:03:05","2023-01-11 16:03:05"
"3","882","Los trae el domingo 15",NULL,"2023-01-11 16:06:02","2023-01-11 16:06:02"
"4","1139","El número no existe",NULL,"2023-01-11 16:10:44","2023-01-11 16:10:44"
"5","1065","a finales de enero devuelve 5 ejemplares","<div>Reincidente, tenía scum y diario desde 2019. Hay que vigilar</div>","2023-01-11 18:10:12","2023-01-11 18:24:01"
"6","1307","Karol lo gestiona por email",NULL,"2023-01-11 20:01:59","2023-01-11 20:01:59"
"7","630","Lo revisa","<div>Vivía con Ángel. Se mudó y creía haberlo devuelto. Lo revisa y nos avisa al mail si no.</div>","2023-01-19 19:06:19","2023-01-19 19:06:19"
"8","325","No contesta. RELLAMAR.",NULL,"2023-01-19 19:08:13","2023-01-19 19:08:13"
"9","648","El teléfono no existe",NULL,"2023-01-19 19:08:37","2023-01-19 19:08:37"
"10","978","No coge. RELLAMAR.",NULL,"2023-01-19 19:10:51","2023-01-19 19:10:51"
"11","979","Lo va a buscar para devolverlo.","<div>Libro: Los fondos buitre, capitalismo depredador</div>","2023-01-19 19:11:27","2023-01-19 19:11:27"
"12","945","no coge. RELLAMAR",NULL,"2023-01-19 19:11:45","2023-01-19 19:11:45"
"13","924","no coge. RELLAMAR",NULL,"2023-01-19 19:11:58","2023-01-19 19:11:58"
"14","982","no coge. RELLAMAR",NULL,"2023-01-19 19:12:13","2023-01-19 19:12:13"
"15","986","no coge. RELLAMAR",NULL,"2023-01-19 19:12:57","2023-01-19 19:12:57"
"16","987","Se acerca a devolverlos el domingo 22 de febrero de 2022","<div>Libro:&nbsp; De la historia a la acción<br><br>Dice que traerá otros dos para compensar.</div>","2023-01-19 19:13:32","2023-01-19 19:13:32"
"17","989","Los devuelve en Granel","<div>En teoría próximamente.</div>","2023-01-19 19:13:57","2023-01-19 19:13:57"
"18","994","no coge. RELLAMAR",NULL,"2023-01-19 19:14:14","2023-01-19 19:14:14"
"19","991","Le he llamado por telepatía","<div>No responde.</div>","2023-01-19 19:14:34","2023-01-19 19:14:34"
"20","1020","Los busca. El email estaba mal.",NULL,"2023-01-19 19:27:32","2023-01-19 19:27:32"
"21","1016","No coge. RELLAMAR",NULL,"2023-01-19 19:27:49","2023-01-19 19:27:49"
"22","1004","Que le llame mañana.","<div>Sí, claro, y le hago la colada también de paso.</div>","2023-01-19 19:28:27","2023-01-19 19:28:27"
"23","997","no coge. RELLAMAR",NULL,"2023-01-19 19:28:41","2023-01-19 19:28:41"
"24","608","No coge. RELLAMAR",NULL,"2023-01-19 19:39:16","2023-01-19 19:39:16"
"25","1006","No coge. RELLAMAR",NULL,"2023-01-19 19:39:29","2023-01-19 19:39:29"
"26","1015","Los devuelve en dos semanas a través de un amigo","<div>Los había perdido y los ha encontrado. Vive fuera y los manda a través de un amigo. Nos mandó un e-mail sobre ello.</div>","2023-01-19 19:40:08","2023-01-19 19:40:08"
"27","1005","Coge y cuelga. RELLAMAR.",NULL,"2023-01-19 19:41:25","2023-01-19 19:41:25"
"28","1048","No lo coge. RELLAMAR",NULL,"2023-02-06 15:53:46","2023-02-06 15:53:46"
"29","1047","No coge. RELLAMAR",NULL,"2023-02-06 15:57:57","2023-02-06 15:57:57"
"30","1037","No coge. RELLAMAR",NULL,"2023-02-06 16:00:30","2023-02-06 16:00:30"
"32","1059","No coge. RELLAMAR",NULL,"2023-02-06 16:05:08","2023-02-06 16:05:08"
"33","1068","No coge. RELLAMAR",NULL,"2023-02-06 16:08:01","2023-02-06 16:08:01"
"34","1069","No coge. RELLAMAR",NULL,"2023-02-06 16:11:11","2023-02-06 16:11:11"
"35","1055","Comprará el libro. Seguir mandando los correos. Lo tiene presente",NULL,"2023-02-06 16:13:46","2023-02-06 16:13:46"
"36","1076","Los recolecta y los devuelve cuando pueda",NULL,"2023-02-06 16:16:06","2023-02-06 19:18:28"
"37","911","Los devuelve mañana 7.2.23",NULL,"2023-02-06 16:19:11","2023-02-06 16:19:11"
"38","1078","Los devuelve. intenta cuadrar horarios",NULL,"2023-02-06 16:23:45","2023-02-06 16:23:45"
"39","1079","No existe tlf",NULL,"2023-02-06 16:25:32","2023-02-06 16:25:32"
"40","1061","No coge. RELLAMAR",NULL,"2023-02-06 16:27:17","2023-02-06 16:27:17"
"41","1083","Teléfono erróneo.",NULL,"2023-02-06 16:29:52","2023-02-06 16:29:52"
"42","1071","No coge. RELLAMAR",NULL,"2023-02-06 16:31:58","2023-02-06 16:31:58"
"43","1062","No existe tlf",NULL,"2023-02-06 16:35:06","2023-02-06 16:35:06"
"44","1104","No existe tlf",NULL,"2023-02-06 16:36:36","2023-02-06 16:36:36"
"45","1117","No coge. RELLAMAR",NULL,"2023-02-06 16:38:16","2023-02-06 16:38:16"
"46","1122","No coge. RELLAMAR",NULL,"2023-02-06 16:40:28","2023-02-06 16:40:28"
"47","1111","No coge. RELLAMAR",NULL,"2023-02-06 16:42:34","2023-02-06 16:42:34"
"48","1124","No coge. RELLAMAR",NULL,"2023-02-06 16:44:16","2023-02-06 16:44:16"
"49","1125","No existe tlf",NULL,"2023-02-06 16:45:48","2023-02-06 16:45:48"
"50","1129","Lo devuelve",NULL,"2023-02-06 16:48:33","2023-02-06 16:48:33"
"51","1135","No coge. RELLAMAR",NULL,"2023-02-06 16:50:25","2023-02-06 16:50:25"
"53","1144","No coge. RELLAMAR",NULL,"2023-02-06 16:53:58","2023-02-06 16:53:58"
"54","1163","No existe tlf. Correo parece falso",NULL,"2023-02-06 16:56:25","2023-02-06 16:56:25"
"55","1155","No lo tiene. Ni está en Madrid",NULL,"2023-02-06 17:01:13","2023-02-06 17:01:13"
"57","1173","Línea ocupada. RELLAMAR",NULL,"2023-02-06 17:05:32","2023-02-06 17:05:32"
"58","1180","No coge. RELLAMAR",NULL,"2023-02-06 17:09:05","2023-02-06 17:09:05"
"60","1198","No coge. RELLAMAR",NULL,"2023-02-06 17:15:23","2023-02-06 17:15:23"
"61","1148","No coge. RELLAMAR",NULL,"2023-02-06 17:17:53","2023-02-06 17:17:53"
"62","1210","No coge. RELLAMAR",NULL,"2023-02-06 17:19:26","2023-02-06 17:19:26"
"63","685","Lo compra y lo repone. Lo mandará y enviará un correo.",NULL,"2023-02-06 17:25:19","2023-02-06 17:25:19"
"64","1219","No coge. RELLAMAR",NULL,"2023-02-06 17:27:28","2023-02-06 17:27:28"
"65","1227","Los devuelve por correo. Mandar email con la dirección",NULL,"2023-02-06 17:36:34","2023-02-06 17:36:34"
"66","1253","Lo devuelve, intenta este finde",NULL,"2023-02-06 17:48:29","2023-02-06 17:48:29"
"67","1136","No coge. RELLAMAR",NULL,"2023-02-06 17:50:31","2023-02-06 17:50:31"
"68","1263","No coge. RELLAMAR",NULL,"2023-02-06 17:52:20","2023-02-06 17:52:20"
"69","1255","No coge. RELLAMAR",NULL,"2023-02-06 17:54:48","2023-02-06 17:54:48"
"70","1284","No coge. RELLAMAR",NULL,"2023-02-06 17:56:39","2023-02-06 17:56:39"
"71","551","No coge. RELLAMAR",NULL,"2023-02-06 18:06:58","2023-02-06 18:06:58"
"72","1324","Lo devuelve",NULL,"2023-02-06 18:11:48","2023-02-06 18:11:48"
"73","1327","Los devuelve mañana 7.2.23",NULL,"2023-02-06 18:15:00","2023-02-06 18:43:40"
"74","1328","No coge. RELLAMAR",NULL,"2023-02-06 18:17:26","2023-02-06 18:17:26"
"75","1330","No coge. RELLAMAR",NULL,"2023-02-06 18:18:58","2023-02-06 18:18:58"
"76","896","No coge. RELLAMAR",NULL,"2023-02-06 18:20:38","2023-02-06 18:20:38"
"77","1338","Lo devuelve jueves 9.2.23",NULL,"2023-02-06 18:24:01","2023-02-06 18:24:01"
"78","1344","No coge. RELLAMAR",NULL,"2023-02-06 18:25:38","2023-02-06 18:25:38"
"79","1334","Lo devuelve mañana 7.2.23",NULL,"2023-02-06 18:28:02","2023-02-06 18:28:02"
"80","1029","Lo devuelve mañana 7.2.23",NULL,"2023-02-06 18:29:49","2023-02-06 18:29:49"
"81","1351","Lo devuelve, le pilla muy lejos.",NULL,"2023-02-06 18:31:56","2023-02-06 18:31:56"
"82","1350","Lo devuelve esta semana",NULL,"2023-02-06 18:34:08","2023-02-06 18:34:08"
"83","1175","Los devuelve esta semana",NULL,"2023-02-06 18:36:45","2023-02-06 18:36:45"
"84","1356","Lo intenta devolver esta semana",NULL,"2023-02-06 18:39:05","2023-02-06 18:39:21"
"85","1358","tlf mal",NULL,"2023-02-06 18:41:03","2023-02-06 18:41:03"
"86","1301","No existe tlf",NULL,"2023-02-06 18:44:05","2023-02-06 18:44:05"
"87","1087","No coge. RELLAMAR",NULL,"2023-02-06 18:45:24","2023-02-06 18:45:24"
"88","586","Lo devuelve esta semana",NULL,"2023-02-06 18:47:52","2023-02-06 18:47:52"
"89","1276","Los devuelve",NULL,"2023-02-06 18:49:41","2023-02-06 18:51:05"
"90","1065","ültimo finde febrero o primero marzo",NULL,"2023-02-14 17:31:33","2023-02-14 17:31:33"
"91","551","lo envía por correo a granel",NULL,"2023-02-14 17:40:26","2023-02-14 17:40:26"
"92","1328","No coge. RELLAMAR",NULL,"2023-02-14 17:43:31","2023-02-14 17:43:31"
"93","1052","lo va a devolver, de verdad, de verdad",NULL,"2023-02-14 17:56:50","2023-02-14 17:56:50"
"94","1255","Comunica",NULL,"2023-05-06 11:13:46","2023-05-06 11:14:04"
"95","1227","Los traerá un familiar","<div>Dice que no vive en Madrid. Le insisto. Los traerá un familiar.</div>","2023-06-13 16:12:53","2023-06-13 16:12:53"
