"id","created_at","updated_at","book_id","user_id","lending_date","stimated_return_date","real_return_date","returned","extensions","extension_date"
"790","2021-04-18 18:31:51","2022-03-12 12:21:07","1833","402","2014-12-16","2015-01-06","2022-03-12","1","0",NULL
"797","2021-04-18 18:31:51","2022-03-12 12:19:53","1759","441","2015-02-09","2015-03-02","2022-03-12","1","0",NULL
"802","2021-04-18 18:31:51","2022-03-18 17:46:33","623","451","2015-02-16","2015-03-30","2022-03-18","1","0",NULL
"803","2021-04-18 18:31:51","2022-03-18 17:49:25","2225","451","2015-02-16","2015-03-30","2022-03-18","1","0",NULL
"806","2021-04-18 18:31:51","2022-03-12 12:05:10","1031","465","2015-03-09","2022-04-02","2022-03-12","1","1",NULL
"808","2021-04-18 18:31:51","2022-03-18 17:53:04","2408","332","2015-03-28","2015-04-20","2022-03-18","1","0",NULL
"824","2021-04-18 18:31:51","2022-03-18 18:16:59","756","570","2015-10-15","2015-11-05","2022-03-18","1","0",NULL
"826","2021-04-18 18:31:51","2022-03-12 12:26:36","796","539","2015-10-29","2015-11-19","2022-03-12","1","0",NULL
"831","2021-04-18 18:31:51","2022-03-18 18:23:29","844","604","2016-01-12","2016-02-02","2022-03-18","1","0",NULL
"833","2021-04-18 18:31:51","2022-03-18 18:26:41","2004","616","2016-02-17","2016-03-09","2022-03-18","1","0",NULL
"835","2021-04-18 18:31:51","2022-05-25 17:58:30","1117","299","2016-02-18","2016-07-08","2022-05-25","1","0",NULL
"841","2021-04-18 18:31:52","2023-01-27 18:42:49","442","630","2016-03-09","2016-03-30","2023-01-27","1","0",NULL
"843","2021-04-18 18:31:52","2022-03-18 18:36:34","1823","640","2016-03-30","2016-04-20","2022-03-18","1","0",NULL
"845","2021-04-18 18:31:52","2021-04-18 18:31:52","528","325","2016-04-25","2016-05-16",NULL,"0","0",NULL
"851","2021-04-18 18:31:52","2022-03-18 18:40:18","722","658","2016-04-30","2016-05-23","2022-03-18","1","0",NULL
"852","2021-04-18 18:31:52","2023-03-06 12:17:36","671","648","2016-05-24","2016-06-14","2023-03-06","1","0",NULL
"858","2021-04-18 18:31:52","2022-03-18 18:45:57","2496","670","2016-06-01","2016-06-22","2022-03-18","1","0",NULL
"868","2021-04-18 18:31:52","2021-09-20 18:28:14","2395","84","2016-08-29","2016-09-19","2021-09-20","1","0",NULL
"869","2021-04-18 18:31:52","2022-04-27 16:09:30","2009","543","2016-09-10","2016-10-03","2022-04-27","1","0",NULL
"870","2021-04-18 18:31:52","2022-04-27 16:09:18","36","543","2016-09-10","2016-10-03","2022-04-27","1","0",NULL
"871","2021-04-18 18:31:52","2022-04-27 16:09:52","1404","698","2016-09-10","2016-10-03","2022-04-27","1","0",NULL
"874","2021-04-18 18:31:52","2022-03-18 19:09:17","2324","706","2016-09-26","2016-11-07","2022-03-18","1","0",NULL
"879","2021-04-18 18:31:52","2022-03-18 19:25:29","1133","715","2016-10-07","2016-10-28","2022-03-18","1","0",NULL
"890","2021-04-18 18:31:52","2022-04-29 16:43:34","681","736","2016-11-18","2016-12-30","2022-04-29","1","0",NULL
"895","2021-04-18 18:31:52","2022-04-29 16:47:14","3509","757","2017-01-23","2017-02-13","2022-04-29","1","0",NULL
"898","2021-04-18 18:31:52","2022-04-29 16:49:42","389","584","2017-02-11","2017-03-06","2022-04-29","1","0",NULL
"904","2021-04-18 18:31:52","2022-04-29 17:05:31","2389","523","2017-03-05","2017-05-08","2022-04-29","1","0",NULL
"907","2021-04-18 18:31:52","2022-08-30 18:42:38","14","777","2017-03-22","2017-04-12","2022-08-30","1","0",NULL
"909","2021-04-18 18:31:52","2022-04-29 17:15:16","2335","779","2017-04-05","2017-05-17","2022-04-29","1","0",NULL
"910","2021-04-18 18:31:52","2022-04-29 17:16:12","1651","786","2017-04-17","2017-05-08","2022-04-29","1","0",NULL
"911","2021-04-18 18:31:52","2022-04-29 17:24:44","1883","770","2017-04-18","2017-05-09","2022-04-29","1","0",NULL
"913","2021-04-18 18:31:52","2022-04-29 17:19:26","788","725","2017-05-05","2017-07-04","2022-04-29","1","0",NULL
"929","2021-04-18 18:31:52","2022-04-29 17:46:11","559","799","2017-08-10","2017-08-31","2022-04-29","1","0",NULL
