"id","collection_name","path","file_name","alt","mime_type","file_size","data","image_sizes","created_at","updated_at","title","webp_name","webp_size"
"8",,"public/media/2021/03/","fox-mesa-de-trabajo-1-4.jpg",,"image/jpeg","156795","{}","{""thumbnail"":{""file_name"":""fox-mesa-de-trabajo-1-4-150px-150px.jpg"",""file_size"":6563,""width"":150,""height"":150,""webp_name"":""fox-mesa-de-trabajo-1-4-150px-150px.webp"",""webp_size"":7118},""medium"":{""file_name"":""fox-mesa-de-trabajo-1-4-300px-300px.jpg"",""file_size"":19911,""width"":300,""height"":300,""webp_name"":""fox-mesa-de-trabajo-1-4-300px-300px.webp"",""webp_size"":21554}}","2021-03-11 17:19:24","2021-03-11 17:19:24",NULL,"fox-mesa-de-trabajo-1-4.webp","101502"
"9",,"public/media/2021/04/","portada-vta-2018.jpg",,"image/jpeg","160028","{}","{""thumbnail"":{""file_name"":""portada-vta-2018-150px-150px.jpg"",""file_size"":5515,""width"":150,""height"":150,""webp_name"":""portada-vta-2018-150px-150px.webp"",""webp_size"":6370},""medium"":{""file_name"":""portada-vta-2018-300px-438px.jpg"",""file_size"":21983,""width"":300,""height"":438,""webp_name"":""portada-vta-2018-300px-438px.webp"",""webp_size"":24262}}","2021-04-20 06:18:38","2021-04-20 06:18:38",NULL,"portada-vta-2018.webp","110718"
"10",,"public/media/2021/04/","portada-vta-2018-1.jpg",,"image/jpeg","159349","{}","{""thumbnail"":{""file_name"":""portada-vta-2018-1-150px-150px.jpg"",""file_size"":5462,""width"":150,""height"":150,""webp_name"":""portada-vta-2018-1-150px-150px.webp"",""webp_size"":6352},""medium"":{""file_name"":""portada-vta-2018-1-300px-438px.jpg"",""file_size"":21871,""width"":300,""height"":438,""webp_name"":""portada-vta-2018-1-300px-438px.webp"",""webp_size"":24142}}","2021-04-20 15:49:58","2021-04-20 15:49:58",NULL,"portada-vta-2018-1.webp","109328"
"11",,"public/media/2021/04/","cubierta-hmma.jpg",,"image/jpeg","189069","{}","{""thumbnail"":{""file_name"":""cubierta-hmma-150px-150px.jpg"",""file_size"":6047,""width"":150,""height"":150,""webp_name"":""cubierta-hmma-150px-150px.webp"",""webp_size"":7746},""medium"":{""file_name"":""cubierta-hmma-300px-442px.jpg"",""file_size"":23360,""width"":300,""height"":442,""webp_name"":""cubierta-hmma-300px-442px.webp"",""webp_size"":31774}}","2021-04-20 15:51:14","2021-04-20 15:51:14",NULL,"cubierta-hmma.webp","168336"
"12",,"public/media/2021/04/","cubierta-hmma-1.jpg",,"image/jpeg","189069","{}","{""thumbnail"":{""file_name"":""cubierta-hmma-1-150px-150px.jpg"",""file_size"":6047,""width"":150,""height"":150,""webp_name"":""cubierta-hmma-1-150px-150px.webp"",""webp_size"":7746},""medium"":{""file_name"":""cubierta-hmma-1-300px-442px.jpg"",""file_size"":23360,""width"":300,""height"":442,""webp_name"":""cubierta-hmma-1-300px-442px.webp"",""webp_size"":31774}}","2021-04-20 17:21:50","2021-04-20 17:21:50",NULL,"cubierta-hmma-1.webp","168336"
"13",,"public/media/2021/04/","cubierta-hmma-2.jpg",,"image/jpeg","189069","{}","{""thumbnail"":{""file_name"":""cubierta-hmma-2-150px-150px.jpg"",""file_size"":6047,""width"":150,""height"":150,""webp_name"":""cubierta-hmma-2-150px-150px.webp"",""webp_size"":7746},""medium"":{""file_name"":""cubierta-hmma-2-300px-442px.jpg"",""file_size"":23360,""width"":300,""height"":442,""webp_name"":""cubierta-hmma-2-300px-442px.webp"",""webp_size"":31774}}","2021-04-20 18:50:30","2021-04-20 18:50:30",NULL,"cubierta-hmma-2.webp","168336"
"14",,"public/media/2021/04/","cubierta-hmma-695x1024.jpg",,"image/jpeg","126043","{}","{""thumbnail"":{""file_name"":""cubierta-hmma-695x1024-150px-150px.jpg"",""file_size"":5997,""width"":150,""height"":150,""webp_name"":""cubierta-hmma-695x1024-150px-150px.webp"",""webp_size"":7668},""medium"":{""file_name"":""cubierta-hmma-695x1024-300px-442px.jpg"",""file_size"":22544,""width"":300,""height"":442,""webp_name"":""cubierta-hmma-695x1024-300px-442px.webp"",""webp_size"":29726}}","2021-04-21 07:32:15","2021-04-21 07:32:15",NULL,"cubierta-hmma-695x1024.webp","90884"
"15",,"public/media/2021/04/","cubierta-hmma-695x1024-1.jpg",,"image/jpeg","126043","{}","{""thumbnail"":{""file_name"":""cubierta-hmma-695x1024-1-150px-150px.jpg"",""file_size"":5997,""width"":150,""height"":150,""webp_name"":""cubierta-hmma-695x1024-1-150px-150px.webp"",""webp_size"":7668},""medium"":{""file_name"":""cubierta-hmma-695x1024-1-300px-442px.jpg"",""file_size"":22544,""width"":300,""height"":442,""webp_name"":""cubierta-hmma-695x1024-1-300px-442px.webp"",""webp_size"":29726}}","2021-04-21 07:34:01","2021-04-21 07:34:01",NULL,"cubierta-hmma-695x1024-1.webp","90884"
"16",,"public/media/2021/04/","funk-sin-limites-txalaparta-eus.jpg",,"image/jpeg","65029","{}","{""thumbnail"":{""file_name"":""funk-sin-limites-txalaparta-eus-150px-150px.jpg"",""file_size"":5946,""width"":150,""height"":150,""webp_name"":""funk-sin-limites-txalaparta-eus-150px-150px.webp"",""webp_size"":6392},""medium"":{""file_name"":""funk-sin-limites-txalaparta-eus-300px-472px.jpg"",""file_size"":24006,""width"":300,""height"":472,""webp_name"":""funk-sin-limites-txalaparta-eus-300px-472px.webp"",""webp_size"":23424}}","2021-04-21 11:13:12","2021-04-21 11:13:12",NULL,"funk-sin-limites-txalaparta-eus.webp","33950"
"17",,"public/media/2021/05/","exefo-2xiai6qf9.jpg",,"image/jpeg","46640","{}","{""thumbnail"":{""file_name"":""exefo-2xiai6qf9-150px-150px.jpg"",""file_size"":8431,""width"":150,""height"":150,""webp_name"":""exefo-2xiai6qf9-150px-150px.webp"",""webp_size"":10200},""medium"":{""file_name"":""exefo-2xiai6qf9-300px-407px.jpg"",""file_size"":27892,""width"":300,""height"":407,""webp_name"":""exefo-2xiai6qf9-300px-407px.webp"",""webp_size"":31862}}","2021-05-06 15:57:18","2021-05-06 15:57:18",NULL,"exefo-2xiai6qf9.webp","34464"
