"id","created_at","updated_at","name","section_id","number"
"1","2021-03-09 19:43:54","2021-03-09 19:43:54","Ensayo",NULL,"1"
"2","2021-03-09 19:44:08","2023-02-10 19:26:27","Pensamiento anarquista y/o antiautoritario","1","1.1.2"
"3","2021-04-18 09:14:01","2021-04-18 09:14:01","Ensayo general","1","1.1.1"
"4","2021-04-18 09:14:18","2021-04-18 09:14:18","Teoría Marxista","1","1.1.3"
"5","2021-04-18 09:14:45","2021-04-18 09:14:45","Situacionismo/Surrealismo","1","1.1.4"
"6","2021-04-18 09:15:07","2021-04-18 09:15:07","Economía","1","1.10"
"7","2021-04-18 09:15:38","2023-02-10 18:11:46","Crítica al progreso","1","1.11"
"8","2021-04-18 09:15:56","2021-04-18 09:15:56","Antropología/Sociología","1","1.12"
"9","2021-04-18 09:17:12","2023-02-10 19:20:20","Conflicto urbano","1","1.13"
"10","2021-04-18 09:17:38","2022-12-23 19:10:14","Metodologías de autoorganización","1","1.14"
"11","2021-04-18 09:18:02","2021-04-18 09:18:02","Antirracismos/Pensamiento decolonial","1","1.15"
"12","2021-04-18 09:19:01","2021-04-18 09:19:01","Anticapacitismo","1","1.16"
"13","2021-04-18 09:21:45","2021-04-18 09:21:45","Antimilitarismo","1","1.2"
"14","2021-04-18 09:21:59","2021-04-18 09:21:59","Educación/Pedagogía","1","1.3"
"15","2021-04-18 09:22:11","2021-04-18 09:22:11","Salud","1","1.4"
"16","2021-04-18 09:22:28","2021-04-18 09:22:28","Salud Mental","15","1.4.1"
"17","2021-04-18 09:22:43","2021-04-18 09:22:43","Feminismos","1","1.5"
"18","2021-04-18 09:23:18","2021-04-18 09:23:18","Relaciones","17","1.5.1"
"19","2021-04-18 09:23:43","2022-12-23 19:09:19","Antiespecismo","1","1.7"
"20","2021-04-18 09:24:06","2023-02-10 19:21:17","Migraciones/Fronteras","1","1.6"
"21","2021-04-18 09:24:20","2022-12-23 19:08:56","Control social","1","1.8"
"22","2021-04-18 09:24:39","2021-04-18 09:24:39","Filosofía","1","1.9"
"23","2021-04-18 09:25:01","2021-04-18 09:25:01","Historia",NULL,"2"
"24","2021-04-18 09:25:22","2023-07-14 17:39:49","Historia universal","23","2.1"
"25","2021-04-18 09:25:37","2023-07-14 17:00:42","Biografía/Memoria","23","2.2"
"26","2021-04-18 09:26:08","2023-04-25 16:16:33","1936 - 1939 (Guerra Civil/Revolución Española)","46","2.3.1.3"
"28","2021-04-18 09:27:00","2023-11-17 18:58:02","América Latina (sección vieja)","28","2.5"
"30","2021-04-18 09:27:30","2023-11-17 18:32:03","México","63","2.5.2.1"
"31","2021-04-18 09:27:41","2024-04-05 15:51:18","Rusia","45","2.3.8"
"32","2021-04-18 09:28:16","2023-11-17 17:45:28","Oriente Medio","68","2.6.1"
"33","2021-04-18 09:28:49","2022-07-01 16:52:00","Otros / Literatura",NULL,"3"
"34","2021-04-18 09:29:09","2023-01-27 18:33:37","Narrativa","33","3.1"
"35","2021-04-18 09:29:26","2021-04-18 09:29:26","Infantil/Juvenil","33","3.2"
